"autor","l0","l1","l2","gender"
"Chandrika Pulla","Asian","IndianSubContinent","\N","F"
"Chandrika Shrinivasan","Asian","IndianSubContinent","\N","F"
"Chandrika Sivaramakrishnan","Asian","IndianSubContinent","\N","F"
"Changying Du","Asian","GreaterEastAsian","EastAsian","F"
"Chanika Hobatr","Asian","GreaterEastAsian","Japanese","F"
"Chantal Keller","GreaterEuropean","British","\N","F"
"Chantal Reynaud","GreaterEuropean","WestEuropean","French","F"
"Chantal Reynaud-Delaître","GreaterEuropean","WestEuropean","French","F"
"Chantal Robach","GreaterEuropean","WestEuropean","Nordic","F"
"Chantal van Son","GreaterEuropean","EastEuropean","\N","F"
"Chantine Akiyama","Asian","GreaterEastAsian","Japanese","F"
"Chao-Lin Liu","Asian","GreaterEastAsian","EastAsian","F"
"Chao-Lin Yu","Asian","GreaterEastAsian","EastAsian","F"
"Chaoyan Wang","Asian","GreaterEastAsian","EastAsian","F"
"Chaoyi Li","Asian","GreaterEastAsian","EastAsian","F"
"Chaoyi Pang","Asian","GreaterEastAsian","EastAsian","F"
"Chaoyi Wang","Asian","GreaterEastAsian","EastAsian","F"
"Chaoying Tang","Asian","GreaterEastAsian","EastAsian","F"
"Chara Tsoukala","Asian","GreaterEastAsian","Japanese","F"
"Charese Smiley","GreaterEuropean","British","\N","F"
"Charis Lanaras","Asian","IndianSubContinent","\N","F"
"Charis Papadopoulos","GreaterEuropean","British","\N","F"
"Charla Woodbury","GreaterEuropean","British","\N","F"
"Charlene Ianthe Jennett","GreaterEuropean","British","\N","F"
"Charlene Jennett","GreaterEuropean","British","\N","F"
"Charless C. Fowlkes","GreaterEuropean","British","\N","F"
"Charline Poirier","GreaterEuropean","WestEuropean","French","F"
"Charlotte Hug","GreaterEuropean","WestEuropean","Germanic","F"
"Charlotte L. Robinson","GreaterEuropean","British","\N","F"
"Charlotte Magnusson","GreaterEuropean","British","\N","F"
"Charlotte Massey","GreaterEuropean","British","\N","F"
"Charlotte Niznik","GreaterEuropean","EastEuropean","\N","F"
"Charlotte P. Lee","Asian","GreaterEastAsian","EastAsian","F"
"Charlotte S. Skov","GreaterEuropean","EastEuropean","\N","F"
"Charlotte Shabarekh","GreaterAfrican","Muslim","\N","F"
"Charlotte Tang","Asian","GreaterEastAsian","EastAsian","F"
"Charlotte Wiberg","GreaterEuropean","British","\N","F"
"Charlotte Zhu","Asian","GreaterEastAsian","EastAsian","F"
"Charu Aggarwal","Asian","IndianSubContinent","\N","F"
"Charu C. Aggarwal","Asian","IndianSubContinent","\N","F"
"Charu Chauhan","Asian","IndianSubContinent","\N","F"
"Charu Tiwari","Asian","IndianSubContinent","\N","F"
"Charuta Nakhe","Asian","IndianSubContinent","\N","F"
"Chaya Ben-Zaken Zilberstein","GreaterEuropean","Jewish","\N","F"
"Chaya Ganesh","Asian","IndianSubContinent","\N","F"
"Chaya Hiruncharoenvate","Asian","GreaterEastAsian","Japanese","F"
"Chaya Koren","GreaterEuropean","Jewish","\N","F"
"Chayanin Wong","Asian","GreaterEastAsian","EastAsian","F"
"Chaza Akik","GreaterAfrican","Africans","\N","F"
"Chek Tien Tan","Asian","GreaterEastAsian","EastAsian","F"
"Chelsea A. Metcalf","GreaterEuropean","British","\N","F"
"Chelsea Finn","GreaterEuropean","British","\N","F"
"Chelsea Hash","Asian","GreaterEastAsian","Japanese","F"
"Chelsea Hordatt","GreaterEuropean","British","\N","F"
"Chenchen Sun","Asian","GreaterEastAsian","EastAsian","F"
"Chenchen Xiao","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Bo","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Cao","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Chang","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Che Chen","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Chen","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Deng","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Fan","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Fang","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Guo","Asian","GreaterEastAsian","EastAsian","F"
"Cheng He","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Huang","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Jie","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Jin","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Lei","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Li","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Li 0001","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Lian","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Liu","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Long","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Lu","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Luo","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Niu","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Qian","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Shao","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Sheng 0001","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Si","Asian","IndianSubContinent","\N","F"
"Cheng Soon Ong","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Thao","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Tien Ee","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Wan","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Wang","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Wei Chang","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Wu","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Xie","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Xu","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Yan","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Yang","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Yao","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Yi","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Zeng","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Zheng","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Zhong","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Zhou","Asian","GreaterEastAsian","EastAsian","F"
"Cheng Zhu","Asian","GreaterEastAsian","EastAsian","F"
"Chengcheng Jia","Asian","GreaterEastAsian","EastAsian","F"
"Chengcheng Shao","Asian","GreaterEastAsian","EastAsian","F"
"Chengcheng Xiang","Asian","GreaterEastAsian","EastAsian","F"
"Chengcheng Xu","Asian","GreaterEastAsian","EastAsian","F"
"Chengcheng Yang","Asian","GreaterEastAsian","EastAsian","F"
"Chengcheng Yu","Asian","GreaterEastAsian","EastAsian","F"
"Chengjie Qin","Asian","GreaterEastAsian","EastAsian","F"
"Chengjie Sun","Asian","GreaterEastAsian","EastAsian","F"
"Chengjie Wu","Asian","GreaterEastAsian","EastAsian","F"
"Chenglong Bao","Asian","GreaterEastAsian","EastAsian","F"
"Chenglong Li","Asian","GreaterEastAsian","EastAsian","F"
"Chenjing Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Chenlu Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Chenqiang Gao","Asian","GreaterEastAsian","EastAsian","F"
"Chenxi Guo","Asian","GreaterEastAsian","EastAsian","F"
"Chenxi Lin","Asian","GreaterEastAsian","EastAsian","F"
"Chenxi Liu","Asian","GreaterEastAsian","EastAsian","F"
"Chenxi Qiu","Asian","GreaterEastAsian","EastAsian","F"
"Chenxi Sun","Asian","GreaterEastAsian","EastAsian","F"
"Chenxi Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Chenxi Zhu","Asian","GreaterEastAsian","EastAsian","F"
"Chenxin Ma","Asian","GreaterEastAsian","EastAsian","F"
"Chenyang Lu","Asian","GreaterEastAsian","EastAsian","F"
"Chenyang Xu","Asian","GreaterEastAsian","EastAsian","F"
"Chenyang Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Chenyang Zhou","Asian","GreaterEastAsian","EastAsian","F"
"Chenyi Chen","Asian","GreaterEastAsian","EastAsian","F"
"Chenyi Lei","Asian","GreaterEastAsian","EastAsian","F"
"Chenyi Xia","Asian","GreaterEastAsian","EastAsian","F"
"Chenyi Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Cher Keng Heng","Asian","GreaterEastAsian","EastAsian","F"
"Cheralyn Atkins","GreaterEuropean","British","\N","F"
"Cherie Cheung","Asian","GreaterEastAsian","EastAsian","F"
"Cherie Yamaguchi","Asian","GreaterEastAsian","Japanese","F"
"Cherri M. Pancake","GreaterEuropean","WestEuropean","French","F"
"Cherry Che","GreaterEuropean","WestEuropean","French","F"
"Cherry Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Cheryl A. Kieliszewski","GreaterEuropean","Jewish","\N","F"
"Cheryl Ann Madeira","GreaterEuropean","WestEuropean","Hispanic","F"
"Cheryl D. Seals","GreaterEuropean","British","\N","F"
"Cheryl E. Martin","GreaterEuropean","British","\N","F"
"Cheryl Geisler","GreaterEuropean","Jewish","\N","F"
"Cheryl L. Coyle","GreaterEuropean","British","\N","F"
"Cheryl Lau","GreaterEuropean","British","\N","F"
"Cheryl Savery","GreaterEuropean","British","\N","F"
"Cheryll Ruth Soriano","GreaterEuropean","WestEuropean","Italian","F"
"Chethana Dinakar","Asian","IndianSubContinent","\N","F"
"Chetna Shastry","Asian","IndianSubContinent","\N","F"
"Chhaya Trehan","GreaterAfrican","Africans","\N","F"
"Chi Bahk","Asian","GreaterEastAsian","EastAsian","F"
"Chi Cao Minh","Asian","GreaterEastAsian","EastAsian","F"
"Chi Chen","Asian","GreaterEastAsian","EastAsian","F"
"Chi Fai Yuen","Asian","GreaterEastAsian","EastAsian","F"
"Chi Gou","Asian","GreaterEastAsian","EastAsian","F"
"Chi Ho","Asian","GreaterEastAsian","EastAsian","F"
"Chi Ho Leung","Asian","GreaterEastAsian","EastAsian","F"
"Chi Hong Cheong","Asian","GreaterEastAsian","EastAsian","F"
"Chi Jin","Asian","GreaterEastAsian","EastAsian","F"
"Chi Jui Raymond Lin","GreaterEuropean","British","\N","F"
"Chi Keong Goh","Asian","GreaterEastAsian","EastAsian","F"
"Chi Kin Lau","Asian","GreaterEastAsian","EastAsian","F"
"Chi Lap Yip","Asian","GreaterEastAsian","EastAsian","F"
"Chi Li","Asian","GreaterEastAsian","EastAsian","F"
"Chi Mai Nguyen","GreaterEuropean","British","\N","F"
"Chi Nhan Duong","GreaterEuropean","British","\N","F"
"Chi Su","Asian","GreaterEastAsian","EastAsian","F"
"Chi Thanh Vi","GreaterEuropean","British","\N","F"
"Chi Tian","Asian","GreaterEastAsian","EastAsian","F"
"Chi Wang 0001","Asian","GreaterEastAsian","EastAsian","F"
"Chi Xu","Asian","GreaterEastAsian","EastAsian","F"
"Chi Yi","Asian","GreaterEastAsian","EastAsian","F"
"Chi Young Oh","Asian","GreaterEastAsian","Japanese","F"
"Chi Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Chi Zhou","Asian","GreaterEastAsian","EastAsian","F"
"Chia Hui Liao","Asian","GreaterEastAsian","EastAsian","F"
"Chia Hung Chen","Asian","GreaterEastAsian","EastAsian","F"
"Chia Shen","Asian","GreaterEastAsian","EastAsian","F"
"Chia Yuan Cho","Asian","GreaterEastAsian","EastAsian","F"
"Chia-Hui Chang","Asian","GreaterEastAsian","EastAsian","F"
"Chia-Hui Tai","Asian","GreaterEastAsian","EastAsian","F"
"Chia-Ling Lee","Asian","GreaterEastAsian","EastAsian","F"
"Chia-Ling Lin","Asian","GreaterEastAsian","EastAsian","F"
"Chia-Ling Tsai","Asian","GreaterEastAsian","EastAsian","F"
"Chia-Wei Chang","Asian","GreaterEastAsian","EastAsian","F"
"Chia-Ying Lee","Asian","GreaterEastAsian","EastAsian","F"
"Chiaki Fujimon","Asian","GreaterEastAsian","Japanese","F"
"Chiaki Sakama","Asian","GreaterEastAsian","Japanese","F"
"Chiao Fu","Asian","GreaterEastAsian","EastAsian","F"
"Chiao Hsieh","Asian","GreaterEastAsian","EastAsian","F"
"Chiara Bartolozzi","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Bassetti","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Boldrini","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Chirichella","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Del Vescovo","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Di Francescomarino","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Francalanci","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Ghidini","GreaterAfrican","Africans","\N","F"
"Chiara Leonardi","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Mainardi","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Petrioli","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Piacentini","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Pulice","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Renso","GreaterEuropean","WestEuropean","Italian","F"
"Chiara Rossitto","GreaterEuropean","WestEuropean","Italian","F"
"Chick Markley","GreaterEuropean","British","\N","F"
"Chidchanok Lursinsap","Asian","IndianSubContinent","\N","F"
"Chie Morita","Asian","GreaterEastAsian","Japanese","F"
"Chie Nara","Asian","GreaterEastAsian","Japanese","F"
"Chieko Asakawa","Asian","GreaterEastAsian","Japanese","F"
"Chiemi Watanabe","Asian","GreaterEastAsian","Japanese","F"
"Chien Chin Chen","Asian","GreaterEastAsian","EastAsian","F"
"Chien Wen Yuan","Asian","GreaterEastAsian","EastAsian","F"
"Chiew Seng Sean Tan","GreaterEuropean","British","\N","F"
"Chiew Tong Lau","Asian","GreaterEastAsian","EastAsian","F"
"Chih Yen","Asian","GreaterEastAsian","EastAsian","F"
"Chih-Hua Tai","Asian","GreaterEastAsian","EastAsian","F"
"Chihiro Shibata","Asian","GreaterEastAsian","Japanese","F"
"Chihiro Takayama","Asian","GreaterEastAsian","Japanese","F"
"Chihiro Uchida","Asian","GreaterEastAsian","Japanese","F"
"Chihiro Watanabe","Asian","GreaterEastAsian","Japanese","F"
"Chiho Choi","Asian","GreaterEastAsian","EastAsian","F"
"Chika Oshima","Asian","GreaterEastAsian","Japanese","F"
"Chikako Ogawa","Asian","GreaterEastAsian","Japanese","F"
"Chinatsu Aone","Asian","GreaterEastAsian","Japanese","F"
"Ching Chang","Asian","GreaterEastAsian","EastAsian","F"
"Ching Hoo Tang","Asian","GreaterEastAsian","EastAsian","F"
"Ching Kian Wong","Asian","GreaterEastAsian","EastAsian","F"
"Ching Law","Asian","GreaterEastAsian","EastAsian","F"
"Ching Lik Teo","Asian","GreaterEastAsian","EastAsian","F"
"Ching Y. Suen","Asian","GreaterEastAsian","EastAsian","F"
"Ching-Fang Hsu","Asian","GreaterEastAsian","EastAsian","F"
"Ching-Huei Tsou","Asian","GreaterEastAsian","EastAsian","F"
"Ching-Ming Lien","GreaterEuropean","WestEuropean","Nordic","F"
"Ching-Yi Lin","Asian","GreaterEastAsian","EastAsian","F"
"Chính T. Hoàng","Asian","GreaterEastAsian","EastAsian","F"
"Chinh T. Vu","GreaterEuropean","British","\N","F"
"Chiori Hori","Asian","GreaterEastAsian","Japanese","F"
"Chiraz BenAbdelkader","Asian","IndianSubContinent","\N","F"
"Chiraz Trabelsi","GreaterAfrican","Africans","\N","F"
"Chirine Ghedira","GreaterAfrican","Muslim","\N","F"
"Chirine Ghedira Guegan","GreaterAfrican","Africans","\N","F"
"Chisaki Murakami","Asian","GreaterEastAsian","Japanese","F"
"Chisu Wu","Asian","GreaterEastAsian","EastAsian","F"
"Chita R. Das","Asian","IndianSubContinent","\N","F"
"Chithralekha Balamurugan","Asian","IndianSubContinent","\N","F"
"Chitra Dorai","Asian","IndianSubContinent","\N","F"
"Chitra Muthukrishnan","Asian","IndianSubContinent","\N","F"
"Chitra Ramachandran","Asian","IndianSubContinent","\N","F"
"Chitra Venkatramani","Asian","IndianSubContinent","\N","F"
"Chiu Chiang Tan","Asian","GreaterEastAsian","EastAsian","F"
"Chiu Wo Choi","Asian","GreaterEastAsian","EastAsian","F"
"Chiyomi Miyajima","Asian","GreaterEastAsian","Japanese","F"
"Chizu Yamazaki","Asian","GreaterEastAsian","Japanese","F"
"Chloe Aloimonos","GreaterEuropean","WestEuropean","Italian","F"
"Chloé Clavel","GreaterEuropean","WestEuropean","Hispanic","F"
"Chloe Fan","Asian","GreaterEastAsian","EastAsian","F"
"Chloe Griffiths","GreaterEuropean","British","\N","F"
"Chloé Kiddon","GreaterEuropean","British","\N","F"
"Chloe Kliman-Silver","GreaterEuropean","Jewish","\N","F"
"Chloé Pasin","GreaterEuropean","British","\N","F"
"Chloe Rispal","GreaterEuropean","WestEuropean","Italian","F"
"Chloë W. Schulze","GreaterEuropean","WestEuropean","Germanic","F"
"Chorom Hamm","GreaterEuropean","WestEuropean","Nordic","F"
"Chou Mo","Asian","GreaterEastAsian","EastAsian","F"
"Christa M. Chewar","Asian","IndianSubContinent","\N","F"
"Christa Schwanninger","GreaterEuropean","Jewish","\N","F"
"Christabel Goh","Asian","GreaterEastAsian","EastAsian","F"
"Christabel Wayllace","GreaterEuropean","British","\N","F"
"Christan Earl Grant","GreaterEuropean","British","\N","F"
"Christel Baier","GreaterEuropean","WestEuropean","Germanic","F"
"Christel Chamaret","GreaterEuropean","WestEuropean","French","F"
"Christel Dehaes","GreaterEuropean","WestEuropean","Nordic","F"
"Christel Kemke","GreaterEuropean","British","\N","F"
"Christel Seguin","GreaterEuropean","WestEuropean","French","F"
"Christel Vrain","GreaterEuropean","WestEuropean","Nordic","F"
"Christèle Faure","GreaterEuropean","WestEuropean","French","F"
"Christelle Caillouet","GreaterEuropean","WestEuropean","French","F"
"Christelle Chaudet","GreaterEuropean","WestEuropean","French","F"
"Christelle Pierkot","GreaterEuropean","EastEuropean","\N","F"
"Christelle Scharff","GreaterEuropean","WestEuropean","Germanic","F"
"Christelle Urtado","GreaterAfrican","Muslim","\N","F"
"Christelle Vangenot","Asian","GreaterEastAsian","EastAsian","F"
"Christiana Christophi","GreaterEuropean","British","\N","F"
"Christiane Fellbaum","GreaterEuropean","WestEuropean","Germanic","F"
"Christiane Frougny","GreaterEuropean","WestEuropean","French","F"
"Christiane Guinot","GreaterEuropean","WestEuropean","French","F"
"Christiane Kamdem Kengne","GreaterAfrican","Africans","\N","F"
"Christiane Lammersen","GreaterEuropean","WestEuropean","Germanic","F"
"Christiane Lemke","GreaterEuropean","WestEuropean","Germanic","F"
"Christiane Moser","GreaterEuropean","WestEuropean","Germanic","F"
"Christiane Peters","GreaterEuropean","WestEuropean","Germanic","F"
"Christiane Schmidt 0001","GreaterEuropean","WestEuropean","Germanic","F"
"Christianne Rooke","GreaterEuropean","British","\N","F"
"Christie I. Ezeife","GreaterAfrican","Muslim","\N","F"
"Christie M. Buchovecky","GreaterEuropean","EastEuropean","\N","F"
"Christie Oh","Asian","GreaterEastAsian","Japanese","F"
"Christie Thornton","GreaterEuropean","British","\N","F"
"Christin Lindholm","GreaterEuropean","WestEuropean","Nordic","F"
"Christin Schäfer","GreaterEuropean","WestEuropean","Germanic","F"
"Christin Seifert","GreaterEuropean","EastEuropean","\N","F"
"Christina A. Masden","GreaterEuropean","WestEuropean","Nordic","F"
"Christina Aperjis","GreaterEuropean","WestEuropean","French","F"
"Christina Boididou","GreaterAfrican","Muslim","\N","F"
"Christina Boucher","GreaterEuropean","WestEuropean","French","F"
"Christina Boumpouka","GreaterAfrican","Africans","\N","F"
"Christina Boura","GreaterEuropean","WestEuropean","French","F"
"Christina Brandt","GreaterEuropean","WestEuropean","Germanic","F"
"Christina Brodersen","GreaterEuropean","British","\N","F"
"Christina Brzuska","GreaterEuropean","EastEuropean","\N","F"
"Christina Büsing","GreaterAfrican","Muslim","\N","F"
"Christina Chan","Asian","GreaterEastAsian","EastAsian","F"
"Christina Chavez","GreaterEuropean","WestEuropean","Hispanic","F"
"Christina Christodoulakis","GreaterEuropean","British","\N","F"
"Christina Chung","Asian","GreaterEastAsian","EastAsian","F"
"Christina Cramer","GreaterEuropean","British","\N","F"
"Christina Dicke","GreaterEuropean","British","\N","F"
"Christina Fragouli","GreaterEuropean","WestEuropean","French","F"
"Christina Gardner-McCune","GreaterEuropean","British","\N","F"
"Christina Garman","GreaterEuropean","British","\N","F"
"Christina Gossmann","GreaterEuropean","Jewish","\N","F"
"Christina Grönwall","GreaterEuropean","British","\N","F"
"Christina Hochleitner","GreaterEuropean","Jewish","\N","F"
"Christina Holsberry","GreaterEuropean","British","\N","F"
"Christina J. Santana","GreaterEuropean","WestEuropean","Hispanic","F"
"Christina Johns","GreaterEuropean","British","\N","F"
"Christina Kao","Asian","GreaterEastAsian","EastAsian","F"
"Christina Khnaisser","GreaterEuropean","WestEuropean","Nordic","F"
"Christina Korger","GreaterEuropean","WestEuropean","Nordic","F"
"Christina L. James","GreaterEuropean","British","\N","F"
"Christina Leber","GreaterEuropean","WestEuropean","Nordic","F"
"Christina Lioma","GreaterEuropean","WestEuropean","Nordic","F"
"Christina M. Kennedy","GreaterEuropean","British","\N","F"
"Christina M. Poon","Asian","GreaterEastAsian","EastAsian","F"
"Christina Malamateniou","GreaterEuropean","WestEuropean","Italian","F"
"Christina Maria Busch","GreaterEuropean","WestEuropean","Germanic","F"
"Christina Merten","GreaterEuropean","WestEuropean","Nordic","F"
"Christina Müller","GreaterEuropean","British","\N","F"
"Christina Papagiannopoulou","GreaterEuropean","WestEuropean","Italian","F"
"Christina Pavlopoulou","GreaterEuropean","EastEuropean","\N","F"
"Christina Pollalis","GreaterEuropean","WestEuropean","Italian","F"
"Christina Pöpper","GreaterEuropean","EastEuropean","\N","F"
"Christina Rickmann","GreaterEuropean","Jewish","\N","F"
"Christina S. Leslie","GreaterEuropean","British","\N","F"
"Christina Sauper","GreaterEuropean","WestEuropean","Nordic","F"
"Christina Schmiedl","GreaterEuropean","WestEuropean","Germanic","F"
"Christina Schwind","GreaterEuropean","WestEuropean","Germanic","F"
"Christina Teflioudi","GreaterAfrican","Africans","\N","F"
"Christina Tziviskou","GreaterEuropean","Jewish","\N","F"
"Christina Unger","GreaterEuropean","WestEuropean","Germanic","F"
"Christina Vlachou","GreaterEuropean","WestEuropean","French","F"
"Christina Xu","Asian","GreaterEastAsian","EastAsian","F"
"Christina Yip Chung","Asian","GreaterEastAsian","EastAsian","F"
"Christine A. Halverson","GreaterEuropean","WestEuropean","Hispanic","F"
"Christine A. Orengo","GreaterEuropean","WestEuropean","Hispanic","F"
"Christine A. Shoemaker","Asian","GreaterEastAsian","Japanese","F"
"Christine Alvarado","GreaterEuropean","WestEuropean","Hispanic","F"
"Christine Anderson","GreaterEuropean","British","\N","F"
"Christine Bauer","GreaterEuropean","WestEuropean","Germanic","F"
"Christine Bayer","GreaterEuropean","WestEuropean","Nordic","F"
"Christine Berkesch","GreaterEuropean","British","\N","F"
"Christine Burg","GreaterEuropean","Jewish","\N","F"
"Christine Chan","Asian","GreaterEastAsian","EastAsian","F"
"Christine Chau","Asian","GreaterEastAsian","EastAsian","F"
"Christine Chen","Asian","GreaterEastAsian","EastAsian","F"
"Christine Cheng","Asian","GreaterEastAsian","EastAsian","F"
"Christine Choppy","GreaterEuropean","British","\N","F"
"Christine Chung","Asian","GreaterEastAsian","EastAsian","F"
"Christine Clark","GreaterEuropean","British","\N","F"
"Christine Collet","GreaterEuropean","British","\N","F"
"Christine Colson","GreaterEuropean","British","\N","F"
"Christine D. Piatko","GreaterEuropean","EastEuropean","\N","F"
"Christine Decaestecker","GreaterEuropean","WestEuropean","French","F"
"Christine DeLorenzo","GreaterEuropean","WestEuropean","Italian","F"
"Christine Dierk","GreaterEuropean","British","\N","F"
"Christine Dufour","GreaterEuropean","WestEuropean","French","F"
"Christine E. Wania","GreaterEuropean","British","\N","F"
"Christine Eisenbeis","GreaterEuropean","Jewish","\N","F"
"Christine F. Reilly","GreaterEuropean","British","\N","F"
"Christine Farion","GreaterEuropean","WestEuropean","French","F"
"Christine Flounders","GreaterEuropean","British","\N","F"
"Christine Franks","GreaterEuropean","British","\N","F"
"Christine Fricker","GreaterEuropean","British","\N","F"
"Christine Froidevaux","GreaterEuropean","WestEuropean","French","F"
"Christine H. Chih","Asian","GreaterEastAsian","EastAsian","F"
"Christine H. Flood","GreaterEuropean","British","\N","F"
"Christine H. Lee","GreaterEuropean","British","\N","F"
"Christine H. Lorenz","GreaterEuropean","WestEuropean","Hispanic","F"
"Christine Halverson","GreaterEuropean","WestEuropean","Hispanic","F"
"Christine Hofmeister","GreaterEuropean","Jewish","\N","F"
"Christine Holsberry","GreaterEuropean","British","\N","F"
"Christine Hsieh","Asian","GreaterEastAsian","EastAsian","F"
"Christine Julien","GreaterEuropean","WestEuropean","French","F"
"Christine Keribin","GreaterEuropean","WestEuropean","French","F"
"Christine Kopp","GreaterEuropean","WestEuropean","Germanic","F"
"Christine Körner","GreaterEuropean","British","\N","F"
"Christine L. Borgman","GreaterEuropean","WestEuropean","Germanic","F"
"Christine L. MacKenzie","GreaterEuropean","British","\N","F"
"Christine Largouët","GreaterEuropean","WestEuropean","French","F"
"Christine Lo","Asian","GreaterEastAsian","EastAsian","F"
"Christine Louberry","GreaterEuropean","British","\N","F"
"Christine Ly","GreaterEuropean","British","\N","F"
"Christine M. Anderson-Cook","GreaterEuropean","British","\N","F"
"Christine M. Johnson","GreaterEuropean","British","\N","F"
"Christine M. Liu","Asian","GreaterEastAsian","EastAsian","F"
"Christine M. O'Keefe","GreaterEuropean","British","\N","F"
"Christine Maindorfer","GreaterEuropean","British","\N","F"
"Christine Markarian","GreaterAfrican","Muslim","\N","F"
"Christine Mégard","GreaterEuropean","WestEuropean","French","F"
"Christine Miller","GreaterEuropean","British","\N","F"
"Christine Moran","GreaterEuropean","British","\N","F"
"Christine Naclerio","GreaterEuropean","WestEuropean","French","F"
"Christine Nelson","GreaterEuropean","British","\N","F"
"Christine Neuwirth","GreaterEuropean","Jewish","\N","F"
"Christine Parent","GreaterEuropean","WestEuropean","French","F"
"Christine Pelletier","GreaterEuropean","WestEuropean","French","F"
"Christine Podilchuk","GreaterEuropean","EastEuropean","\N","F"
"Christine Rizkallah","GreaterAfrican","Muslim","\N","F"
"Christine Robson","GreaterEuropean","British","\N","F"
"Christine Rosakranse","Asian","IndianSubContinent","\N","F"
"Christine Satchell","GreaterEuropean","British","\N","F"
"Christine Stoll","GreaterEuropean","WestEuropean","Hispanic","F"
"Christine Sutter","GreaterEuropean","British","\N","F"
"Christine Szentgyorgyi","GreaterEuropean","WestEuropean","Hispanic","F"
"Christine T. Cheng","Asian","GreaterEastAsian","EastAsian","F"
"Christine T. Wolf","GreaterEuropean","British","\N","F"
"Christine Tanner","GreaterEuropean","British","\N","F"
"Christine Tasson","GreaterEuropean","British","\N","F"
"Christine Tuleau","GreaterEuropean","WestEuropean","French","F"
"Christine Verdier","GreaterEuropean","WestEuropean","French","F"
"Christine Wagner","GreaterEuropean","WestEuropean","Germanic","F"
"Christine Xing Wang","Asian","GreaterEastAsian","EastAsian","F"
"Christine Yen","Asian","GreaterEastAsian","EastAsian","F"
"Christine Zarges","GreaterEuropean","WestEuropean","Nordic","F"
"Christy Ballweber","GreaterEuropean","British","\N","F"
"Chrysa A. Papagianni","GreaterEuropean","WestEuropean","Italian","F"
"Chrysanthi N. Raftopoulou","GreaterEuropean","British","\N","F"
"Chrysanthi Papoutsi","GreaterEuropean","EastEuropean","\N","F"
"Chryssa A. Papagianni","GreaterEuropean","WestEuropean","Italian","F"
