"autor","l0","l1","l2","gender"
"Rashmi R. Sinha","Asian","IndianSubContinent","\N","F"
"Rashmi Raghu","Asian","IndianSubContinent","\N","F"
"Rashmi Rodrigues","GreaterEuropean","WestEuropean","Hispanic","F"
"Rashmi Sankepally","Asian","IndianSubContinent","\N","F"
"Rashmi Vilas Tonge","GreaterEuropean","British","\N","F"
"Rath Vannithamby","Asian","IndianSubContinent","\N","F"
"Ratiba Guebaili-Djider","GreaterAfrican","Africans","\N","F"
"Ratna Babu Chinnam","Asian","IndianSubContinent","\N","F"
"Ratna Mandal","Asian","IndianSubContinent","\N","F"
"Rattikorn Hewett","GreaterEuropean","British","\N","F"
"Raula Gaikovina Kula","GreaterEuropean","EastEuropean","\N","F"
"Ravali Pochampally","GreaterEuropean","WestEuropean","Hispanic","F"
"Raven McCrory Wallace","GreaterEuropean","British","\N","F"
"Rawan Naous","Asian","GreaterEastAsian","Japanese","F"
"Rawia Awadallah","GreaterAfrican","Africans","\N","F"
"Raya Fidel","GreaterEuropean","EastEuropean","\N","F"
"Raya Khanin","GreaterAfrican","Muslim","\N","F"
"Rayna Dimitrova","GreaterEuropean","EastEuropean","\N","F"
"Raynor Vliegendhart","GreaterAfrican","Muslim","\N","F"
"Razia Haider","Asian","IndianSubContinent","\N","F"
"Razieh Behjati","GreaterAfrican","Muslim","\N","F"
"Razieh Ehsani","GreaterAfrican","Muslim","\N","F"
"Razieh Lotfalian Saremi","GreaterAfrican","Muslim","\N","F"
"Razieh Nokhbeh Zaeem","GreaterAfrican","Muslim","\N","F"
"Razieh Rahimi","GreaterAfrican","Muslim","\N","F"
"Reagan Moore","GreaterEuropean","British","\N","F"
"Rean Griffith","GreaterEuropean","British","\N","F"
"Rean Isabella Fedriga","GreaterEuropean","WestEuropean","Hispanic","F"
"Reasey Praing","GreaterEuropean","British","\N","F"
"Reba Schuller","GreaterEuropean","WestEuropean","Germanic","F"
"Rebeca Eun Young Hwang","Asian","GreaterEastAsian","EastAsian","F"
"Rebeca P. Díaz Redondo","GreaterEuropean","WestEuropean","Hispanic","F"
"Rebeca Schroeder","GreaterEuropean","WestEuropean","Germanic","F"
"Rebeca V. Lewis","GreaterEuropean","British","\N","F"
"Rebecca A. Hutchinson","GreaterEuropean","British","\N","F"
"Rebecca A. Schuller","GreaterEuropean","Jewish","\N","F"
"Rebecca Allen","GreaterEuropean","British","\N","F"
"Rebecca Balebako","GreaterEuropean","EastEuropean","\N","F"
"Rebecca Book","GreaterEuropean","British","\N","F"
"Rebecca Braynard","GreaterEuropean","British","\N","F"
"Rebecca Castaño","GreaterEuropean","WestEuropean","Italian","F"
"Rebecca Cathey","GreaterEuropean","British","\N","F"
"Rebecca D. Watkins","GreaterEuropean","British","\N","F"
"Rébecca Deneckère","GreaterEuropean","British","\N","F"
"Rebecca Dridan","GreaterEuropean","British","\N","F"
"Rebecca E. Grinter","GreaterEuropean","British","\N","F"
